A1CF;-1.36062
A2M;-5.03617
A4GALT;2.27968
A4GNT;-8.82269
AAAS;-1.21615
AACS;2.32402
AADAC;-1.88961
AAGAB;-2.60168
AAK1;-0.028093
AAMDC;-3.85317
AAMP;-3.60582
AANAT;7.67543
AAR2;-4.78572
AARS;6.89855
AASDHPPT;8.34039
AASS;-1.86877
AATF;2.96851
AATK;3.68588
ABAT;-1.97968
ABCA1;-4.76175
ABCA11P;-9.49654
ABCA12;7.67305
ABCA2;-1.96252
ABCA3;-6.17998
ABCA4;7.91781
ABCA5;-1.00779
ABCA6;-1.33171
ABCA7;-2.98487
ABCA8;-2.92853
ABCB1;-0.986618
ABCB11;3.30358
ABCB4;-1.14264
ABCB6;0.041577
ABCB7;-1.91904
ABCB8;-7.64781
ABCB9;6.65543
ABCC1;4.91583
ABCC10;2.27842
ABCC2;5.94651
ABCC3;-4.71705
ABCC4;8.21438
ABCC5;-4.56379
ABCC6;-5.16291
ABCC8;-1.22338
ABCC9;-2.04148
ABCD1;5.98881
ABCD2;-6.96535
ABCD3;-5.05252
ABCD4;-2.40313
ABCE1;5.72688
ABCF1;0.035209
ABCG1;-3.10028
ABCG2;-1.47502
ABCG4;6.35029
ABCG5;3.19538
ABHD10;-0.272308
ABHD11;3.37534
ABHD14A;-7.30501
ABHD17A;-3.75074
ABHD17B;-0.272682
ABHD18;-6.44282
ABHD2;-6.65579
ABHD3;-7.42665
ABHD4;-1.95365
ABHD5;-4.22706
ABHD6;-3.44706
ABHD8;-9.00688
ABI1;0.283859
ABI2;-2.89006
ABI3BP;-1.53214
ABL1;-0.026257
ABL2;-6.94107
ABLIM1;-2.94257
ABLIM3;-2.51688
ABO;0.012136
ABR;-6.34212
ABRAXAS2;-6.43314
ABT1;3.62454
ABTB2;6.07612
ACAA1;-4.84713
ACAA2;7.36676
ACACA;-3.68881
ACACB;-0.0001391
ACAD10;-0.747527
ACAD8;-5.31888
ACADL;-0.078255
ACADM;-2.69076
ACADS;-5.84185
ACADSB;-1.76348
ACADVL;-6.00438
ACAN;3.94028
ACAP1;0.042848
